Symbol,Buy/Sell,Entry date,Entry price,Entry RSI,Exit date,Exit price,Exit RSI,Holding trading period,Capital needed,Profit/loss,Exit reason
COLPAL,Buy,17-Aug-26,1967.4,0.0,19-Aug-26,1888.7,27.1,2,108207*2,-43283,stop_loss
HDFCAMC,Buy,13-Aug-26,2522.1,0.0,25-Aug-26,2673.43,59.0,8,151326*1,45398,first_target
POLICYBZR,Sell,13-Aug-26,1765.8,0.0,26-Aug-26,1836.43,75.2,9,123606*2,-49442,stop_loss
MOTILALOFS,Sell,20-Aug-26,988.2,0.0,26-Aug-26,1027.73,74.3,4,153171*2,-61268,stop_loss
RECLTD,Buy,14-Aug-26,336.25,0.0,27-Aug-26,322.8,27.0,9,105919*2,-42367,stop_loss
