Symbol,Buy/Sell,Entry date,Entry price,Entry RSI,Exit date,Exit price,Exit RSI,Holding trading period,Capital needed,Profit/loss,Exit reason
HAVELLS,Sell,17-Aug-26,1299.0,67.3,27-Aug-26,1249.46,,8,129900*1,24770,first_target
HAVELLS,Sell,17-Aug-26,1299.0,67.3,27-Aug-26,1247.96,,8,129900*1,25518,second_target
MAZDOCK,Sell,17-Aug-26,2569.7,65.5,26-Aug-26,2619.5,,7,115636*2,-22410,stop_loss
SOLARINDS,Sell,17-Aug-26,20000.0,67.1,27-Aug-26,20389.0,,8,200000*2,-38900,stop_loss
POLICYBZR,Sell,20-Aug-26,1779.6,69.0,26-Aug-26,1803.4,,4,124572*2,-16660,stop_loss
MOTILALOFS,Sell,24-Aug-26,990.0,68.3,26-Aug-26,1015.0,,2,153450*2,-38750,stop_loss
AUBANK,Sell,25-Aug-26,1128.6,68.1,31-Aug-26,1072.17,,4,225720*1,56430,first_target
TMPV,Buy,25-Aug-26,314.25,31.1,31-Aug-26,310.55,,4,100560*2,-11840,stop_loss
CDSL,Sell,27-Aug-26,1410.8,61.6,02-Sep-26,1357.53,,4,134026*1,25306,first_target
GLENMARK,Sell,27-Aug-26,2460.0,69.6,28-Aug-26,2484.0,,1,184500*2,-18000,stop_loss
KAYNES,Sell,27-Aug-26,4018.8,66.7,31-Aug-26,3817.86,,2,120564*1,30141,first_target
KAYNES,Sell,27-Aug-26,4018.8,66.7,01-Sep-26,3597.05,,3,120564*1,63262,second_target
SAGILITY,Sell,31-Aug-26,47.05,70.1,31-Aug-26,46.4,,0,112920*2,15600,stop_loss
MARUTI,Buy,03-Sep-26,12857.0,29.3,04-Sep-26,12780.0,,1,128570*2,-7700,stop_loss
BANDHANBNK,Buy,02-Sep-26,164.95,35.2,08-Sep-26,173.2,,4,118764*1,29691,first_target
SHREECEM,Buy,01-Sep-26,23500.0,29.3,08-Sep-26,23995.0,,5,117500*2,24750,stop_loss
VOLTAS,Buy,03-Sep-26,1180.1,27.8,08-Sep-26,1151.5,,3,88507*2,-21450,stop_loss
IDEA,Sell,26-Aug-26,15.24,72.7,08-Sep-26,15.49,,9,217856*1,-17869,stop_loss
HINDPETRO,Buy,07-Sep-26,356.9,34.1,08-Sep-26,350.1,,1,144544*2,-27540,stop_loss
RBLBANK,Sell,07-Sep-26,415.0,72.8,08-Sep-26,421.35,,1,263525*2,-40323,stop_loss
COALINDIA,Buy,20-Aug-26,401.85,26.6,09-Sep-26,430.61,,14,108500*1,38820,second_target
ADANIGREEN,Buy,01-Sep-26,1269.0,29.3,09-Sep-26,1332.45,,6,152280*1,38070,first_target
ADANIGREEN,Buy,01-Sep-26,1269.0,29.3,09-Sep-26,1329.84,,6,152280*1,36503,second_target
GMRAIRPORT,Buy,01-Sep-26,95.0,21.8,09-Sep-26,99.75,,6,132525*1,33131,first_target
BOSCHLTD,Sell,19-Aug-26,48910.0,81.4,09-Sep-26,49035.0,,15,244550*1,-3125,stop_loss
PAYTM,Sell,27-Aug-26,1716.8,76.5,09-Sep-26,1767.7,,9,248936*1,-36903,stop_loss
ITC,Buy,31-Aug-26,267.75,36.6,09-Sep-26,263.8,,7,92374*2,-13627,stop_loss
HDFCBANK,Buy,01-Sep-26,720.5,41.8,09-Sep-26,700.7,,6,93665*2,-25740,stop_loss
ALKEM,Buy,03-Sep-26,5228.0,34.4,09-Sep-26,5202.0,,4,130700*2,-6500,stop_loss
NBCC,Buy,03-Sep-26,87.23,38.4,09-Sep-26,84.31,,4,113399*2,-37960,stop_loss
NAUKRI,Sell,12-Aug-26,1339.0,75.2,09-Sep-26,1272.05,,20,147290*1,36823,first_target
CUMMINSIND,Buy,07-Sep-26,5030.0,31.2,10-Sep-26,5281.5,,3,201200*1,50300,first_target
IRFC,Buy,02-Sep-26,82.2,24.8,10-Sep-26,80.99,,6,89187*2,-13129,stop_loss
WAAREEENER,Buy,02-Sep-26,2613.7,38.2,10-Sep-26,2558.7,,6,91479*2,-19250,stop_loss
